Label,x,y,z
2601,98.952286,50.966667,110.513245
2602,99.021217,51.006721,106.950607
2603,99.096779,51.050629,103.509277
2604,99.186859,51.102974,99.904747
2605,99.294632,51.165615,96.080894
2606,99.416649,51.23653,92.259254
2607,99.55648,51.317799,88.374313
2608,99.716248,51.410671,84.425697
2609,99.898232,51.516449,80.414085
2610,100.107262,51.637955,76.296844
2611,100.34272,51.774826,72.13327
2612,100.600784,51.924839,68.022072
2613,100.882431,52.08857,63.95554
2614,101.198746,52.272465,59.804188
2615,101.554092,52.479034,55.543228
2616,101.942078,52.704597,51.279667
2617,102.362358,52.948933,47.025402
2618,102.813965,53.211487,42.791466
2619,103.295464,53.491417,38.587795
2620,103.804932,53.787609,34.423073
2621,104.340118,54.09877,30.304703
